,Index,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,name,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,2,2023,REG,166,278,2070.0,8,7.0,19.0,145.0,0,0,2358.0,842.0,96.0,10.725584671534822,1,7.318930380362617,0.36824846076976614,13,68.0,0,0.0,0.0,4.0,8.292131671973038,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,111.6,111.6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16356920912235445,Matthew Stafford,19.01771634350786,20.75,34.75,258.75,1.0,0.875,2.375,18.125,0.0,0.0,294.75,105.25,12.0,1.3406980839418527,0.125,0.9148662975453271,0.04603105759622077,1.625,8.5,0.0,0.0,0.0,0.5,1.0365164589966298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,13.95,13.95,0.0,0.0,0.0,0.0,0.0,2.3772145429384826
1,3,2023,REG,23,42,231.0,0,2.0,1.0,8.0,0,0,344.0,80.0,14.0,-8.780772753364403,0,1.425892857142857,0.1840162964022598,3,-3.0,0,0.0,0.0,0.0,-1.8153455403517,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.94,4.94,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03610583248063149,Brian Hoyer,-10.596118293716103,11.5,21.0,115.5,0.0,1.0,0.5,4.0,0.0,0.0,172.0,40.0,7.0,-4.390386376682201,0.0,0.7129464285714285,0.0920081482011299,1.5,-1.5,0.0,0.0,0.0,0.0,-0.90767277017585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.47,0.0,0.0,0.0,0.0,0.0,-5.298059146858051
2,7,2023,REG,34,58,361.0,2,0.0,3.0,27.0,0,0,477.0,128.0,17.0,4.548329591227218,0,0.7568134171907757,0.06331220456200536,3,12.0,0,0.0,0.0,2.0,1.4284599639941007,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.64,23.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11342481527684482,Andy Dalton,5.976789555221319,17.0,29.0,180.5,1.0,0.0,1.5,13.5,0.0,0.0,238.5,64.0,8.5,2.274164795613609,0.0,0.37840670859538783,0.03165610228100268,1.5,6.0,0.0,0.0,0.0,1.0,0.7142299819970503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.82,11.82,0.0,0.0,0.0,0.0,0.0,2.9883947776106594
3,9,2023,REG,57,87,579.0,2,0.0,10.0,54.0,2,0,670.0,247.0,25.0,-6.3044510556433835,0,3.135816949024496,0.4506306986276533,22,98.0,0,0.0,0.0,5.0,0.14340130425989628,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,40.96,40.96,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12426430435046418,Tyrod Taylor,-6.161049751383487,9.5,14.5,96.5,0.3333333333333333,0.0,1.6666666666666667,9.0,0.3333333333333333,0.0,111.66666666666667,41.166666666666664,4.166666666666667,-1.0507418426072306,0.0,0.5226361581707494,0.07510511643794222,3.6666666666666665,16.333333333333332,0.0,0.0,0.0,0.8333333333333334,0.02390021737664938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.826666666666667,6.826666666666667,0.0,0.0,0.0,0.0,0.0,-1.0268416252305812
4,11,2023,REG,154,233,1613.0,16,4.0,26.0,130.0,4,3,1676.0,814.0,71.0,-7.331117471724933,0,7.978739762724795,0.9928613979378743,31,201.0,0,1.0,0.0,18.0,16.53132785303714,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,134.62,134.62,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21462963553458117,Russell Wilson,9.200210381312207,19.25,29.125,201.625,2.0,0.5,3.25,16.25,0.5,0.375,209.5,101.75,8.875,-0.9163896839656166,0.0,0.9973424703405994,0.12410767474223429,3.875,25.125,0.0,0.125,0.0,2.25,2.0664159816296426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8275,16.8275,0.0,0.0,0.0,0.0,0.0,1.1500262976640259
5,13,2023,REG,216,311,2331.0,18,5.0,17.0,110.0,4,3,2252.0,996.0,112.0,37.10304547110406,0,8.48299432724033,1.0611103338147518,14,25.0,0,2.0,1.0,6.0,1.6873686246108264,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,149.74,149.74,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19518744460086554,Kirk Cousins,38.79041409571489,27.0,38.875,291.375,2.25,0.625,2.125,13.75,0.5,0.375,281.5,124.5,14.0,4.637880683888008,0.0,1.0603742909050413,0.13263879172684398,1.75,3.125,0.0,0.25,0.125,0.75,0.2109210780763533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7175,18.7175,0.0,0.0,0.0,0.0,0.0,4.848801761964361
6,15,2023,REG,98,158,1128.0,2,6.0,19.0,135.0,1,0,1471.0,480.0,49.0,-18.624607622897678,0,4.599202716932115,0.5071118308767872,12,40.0,1,1.0,0.0,2.0,-5.614132366288686,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,51.120000000000005,51.120000000000005,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13251762754043966,Ryan Tannehill,-24.238739989186364,16.333333333333332,26.333333333333332,188.0,0.3333333333333333,1.0,3.1666666666666665,22.5,0.16666666666666666,0.0,245.16666666666666,80.0,8.166666666666666,-3.1041012704829463,0.0,0.7665337861553524,0.08451863847946454,2.0,6.666666666666667,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,-0.9356887277147811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520000000000001,8.520000000000001,0.0,0.0,0.0,0.0,0.0,-4.039789998197727
7,25,2023,REG,165,253,1802.0,9,7.0,18.0,149.0,2,1,1838.0,772.0,84.0,-1.7453550250176129,1,8.067709025391391,0.6875801575493811,22,53.0,0,1.0,1.0,3.0,-9.907529185060412,0,1,1,-2.0,0,0.0,0.0,-8.0,6.0,0.0,-1.4415200678631663,0,0.0,0.038461538461538464,-0.0625,0.013942307692307698,0.0,97.17999999999999,98.17999999999999,8,0.003861003861003861,-0.00423728813559322,0.007281553398058253,0.0024016752830312155,-0.0010723860589812334,0.0,0.0,0.0,-0.0005361930294906167,-0.0008579088471849868,-0.007722007722007722,0.1573649623337073,Geno Smith,-11.652884210078025,20.625,31.625,225.25,1.125,0.875,2.25,18.625,0.25,0.125,229.75,96.5,10.5,-0.2181693781272016,0.125,1.0084636281739239,0.08594751969367263,2.75,6.625,0.0,0.125,0.125,0.375,-1.2384411481325515,0.0,0.125,0.125,-0.25,0.0,0.0,0.0,-1.0,0.75,0.0,-0.1801900084828958,0.0,0.0,-0.0078125,0.0017427884615384623,0.0,12.147499999999999,12.272499999999999,0.00048262548262548264,0.00030020941037890193,-6.702412868632708e-05,-0.00010723860589812335,-0.0009652509652509653,-1.456610526259753
8,34,2023,REG,207,316,2121.0,10,4.0,19.0,124.0,3,2,2633.0,992.0,97.0,-3.1470083310910746,1,7.627193874672836,0.7950302906198758,18,23.0,0,0.0,0.0,3.0,-15.06924749241513,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,117.14,117.14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14966907724938033,Derek Carr,-18.216255823506206,23.0,35.111111111111114,235.66666666666666,1.1111111111111112,0.4444444444444444,2.111111111111111,13.777777777777779,0.3333333333333333,0.2222222222222222,292.55555555555554,110.22222222222223,10.777777777777779,-0.34966759234345274,0.1111111111111111,0.8474659860747595,0.08833669895776398,2.0,2.5555555555555554,0.0,0.0,0.0,0.3333333333333333,-1.6743608324905699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.015555555555556,13.015555555555556,0.0,0.0,0.0,0.0,0.0,-2.024028424834023
9,35,2023,REG,110,168,1205.0,7,9.0,13.0,101.0,0,0,1354.0,468.0,60.0,-17.026532385594486,1,5.848699342114885,0.4281019083343923,20,39.0,0,1.0,0.0,6.0,-2.7111202365194913,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.1,64.1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15654000195369736,Jimmy Garoppolo,-19.737652622113977,18.333333333333332,28.0,200.83333333333334,1.1666666666666667,1.5,2.1666666666666665,16.833333333333332,0.0,0.0,225.66666666666666,78.0,10.0,-2.837755397599081,0.16666666666666666,0.9747832236858142,0.07135031805573205,3.3333333333333335,6.5,0.0,0.16666666666666666,0.0,1.0,-0.45185337275324855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683333333333332,10.683333333333332,0.0,0.0,0.0,0.0,0.0,-3.2896087703523293
