,name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game,completions per game per game,attempts per game per game,passing_yards per game per game,passing_tds per game per game,interceptions per game per game,sacks per game per game,sack_yards per game per game,sack_fumbles per game per game,sack_fumbles_lost per game per game,passing_air_yards per game per game,passing_yards_after_catch per game per game,passing_first_downs per game per game,passing_epa per game per game,passing_2pt_conversions per game per game,pacr per game per game,dakota per game per game,carries per game per game,rushing_yards per game per game,rushing_tds per game per game,rushing_fumbles per game per game,rushing_fumbles_lost per game per game,rushing_first_downs per game per game,rushing_epa per game per game,rushing_2pt_conversions per game per game,receptions per game per game,targets per game per game,receiving_yards per game per game,receiving_tds per game per game,receiving_fumbles per game per game,receiving_fumbles_lost per game per game,receiving_air_yards per game per game,receiving_yards_after_catch per game per game,receiving_first_downs per game per game,receiving_epa per game per game,receiving_2pt_conversions per game per game,racr per game per game,air_yards_share per game per game,wopr_x per game per game,special_teams_tds per game per game,fantasy_points per game per game,fantasy_points_ppr per game per game,tgt_sh per game per game,wopr_y per game per game,dom per game per game,w8dom per game per game,yptmpa per game per game,total_epa per game per game
0,Mark Ingram,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,62,233.0,1,1.0,1.0,12.0,-11.029762006073724,1,16,18,68.0,0,1.0,1.0,-17.0,78.0,2.0,-8.766475274111144,0,-7.333333333333332,0.5633644727175583,-0.05113875237066802,0.8092495824168697,0.0,34.1,50.1,10,0.052478134110787174,-0.005436520626798848,0.0775347912524851,0.07436798466474169,0.02640776699029126,0.0,0.017241379310344827,0.015267175572519083,0.01320388349514563,0.02112621359223301,0.19825072886297376,0.05633011018664268,-11.029762006073724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,23.3,0.1,0.1,0.1,1.2,-1.1029762006073724,0.1,1.6,1.8,6.8,0.0,0.1,0.1,-1.7,7.8,0.2,-0.8766475274111144,0.0,-0.7333333333333332,-0.005113875237066802,0.08092495824168697,0.0,3.41,5.01,0.0052478134110787176,0.007436798466474169,0.0013203883495145632,0.002112621359223301,0.019825072886297375,-1.1029762006073724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.33,0.01,0.01,0.01,0.12,-0.11029762006073725,0.01,0.16,0.18,0.6799999999999999,0.0,0.01,0.01,-0.16999999999999998,0.78,0.02,-0.08766475274111143,0.0,-0.07333333333333332,-0.0005113875237066802,0.008092495824168697,0.0,0.341,0.501,0.0005247813411078718,0.0007436798466474169,0.00013203883495145632,0.00021126213592233012,0.0019825072886297374,-0.11029762006073725
1,Brandon Bolden,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,17,66.0,0,0.0,0.0,3.0,-6.284645778941922,0,9,9,57.0,1,0.0,0.0,30.0,27.0,2.0,1.0231501434346804,0,8.882051282051282,0.27739481641920666,0.09242330218802622,0.4807885361604284,0.0,18.3,27.3,8,0.03180212014134275,0.011355034065102196,0.030998851894374284,0.056787207464095886,0.026685393258426966,0.07142857142857142,0.021505376344086023,0.028037383177570093,0.04905698234349919,0.03563402889245586,0.20141342756183744,0.03861167684996606,-6.284645778941922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,8.25,0.0,0.0,0.0,0.375,-0.7855807223677402,0.0,1.125,1.125,7.125,0.125,0.0,0.0,3.75,3.375,0.25,0.12789376792933504,0.0,1.1102564102564103,0.011552912773503277,0.06009856702005355,0.0,2.2875,3.4125,0.003975265017667844,0.007098400933011986,0.006132122792937399,0.004454253611556982,0.02517667844522968,-0.7855807223677402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265625,1.03125,0.0,0.0,0.0,0.046875,-0.09819759029596753,0.0,0.140625,0.140625,0.890625,0.015625,0.0,0.0,0.46875,0.421875,0.03125,0.01598672099116688,0.0,0.1387820512820513,0.0014441140966879097,0.0075123208775066935,0.0,0.2859375,0.4265625,0.0004969081272084805,0.0008873001166264982,0.0007665153491171749,0.0005567817014446228,0.00314708480565371,-0.09819759029596753
2,Kyle Juszczyk,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,26.0,1,0.0,0.0,5.0,1.9088444688240997,0,19,23,200.0,1,0.0,0.0,63.0,149.0,9.0,6.573157199949492,0,30.35105401844532,0.7142198111891314,0.2703782215056962,1.2605944718376845,0.0,34.6,53.6,13,0.05609756097560976,0.022760115606936415,0.08617698091382302,0.10235443394896378,0.06474587245063128,0.043478260869565216,0.06,0.057803468208092484,0.05411206666009825,0.06049235013441807,0.4878048780487805,0.046272316033012184,1.9088444688240997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,2.0,0.07692307692307693,0.0,0.0,0.38461538461538464,0.14683418990954614,0.0,1.4615384615384615,1.7692307692307692,15.384615384615385,0.07692307692307693,0.0,0.0,4.846153846153846,11.461538461538462,0.6923076923076923,0.5056274769191916,0.0,2.3346964629573326,0.0207983247312074,0.09696880552597573,0.0,2.661538461538462,4.1230769230769235,0.004315196998123828,0.007873417996074137,0.004162466666161404,0.0046532577026475435,0.037523452157598496,0.14683418990954614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04142011834319526,0.15384615384615385,0.00591715976331361,0.0,0.0,0.02958579881656805,0.011294937685349702,0.0,0.11242603550295857,0.13609467455621302,1.183431952662722,0.00591715976331361,0.0,0.0,0.37278106508875736,0.8816568047337279,0.05325443786982249,0.03889442130147628,0.0,0.17959203561210252,0.0015998711331698,0.0074591388866135176,0.0,0.2047337278106509,0.3171597633136095,0.00033193823062490984,0.000605647538159549,0.00032018974355087725,0.0003579429002036572,0.0028864193967383456,0.011294937685349702
3,Rex Burkhead,2022,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,7.0,0.0,0.0,-0.45197261590510607,0,0.0,0.0,26,80.0,0,0.0,0.0,4.0,-6.8097426585736685,0,37,51,204.0,1,0.0,0.0,85.0,204.0,8.0,-23.890382683779666,0,31.047649572649576,1.5481673603651238,0.3729367353741536,2.5833067553095934,0.0,34.4,71.4,15,0.10059171597633136,0.02268481451828129,0.1275797373358349,0.16903542557912207,0.06234718826405868,0.05263157894736842,0.055944055944055944,0.05555555555555555,0.057489383605713554,0.06040406640072063,0.40236686390532544,0.06524242036586926,-7.2617152744787745,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,-0.03013150772700707,0.0,0.0,0.0,1.7333333333333334,5.333333333333333,0.0,0.0,0.0,0.26666666666666666,-0.4539828439049112,0.0,2.466666666666667,3.4,13.6,0.06666666666666667,0.0,0.0,5.666666666666667,13.6,0.5333333333333333,-1.5926921789186443,0.0,2.069843304843305,0.024862449024943573,0.1722204503539729,0.0,2.2933333333333334,4.760000000000001,0.0067061143984220905,0.011269028371941471,0.003832625573714237,0.004026937760048042,0.026824457593688362,-0.4841143516319183,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03111111111111111,0.0,0.0,-0.0020087671818004712,0.0,0.0,0.0,0.11555555555555556,0.3555555555555555,0.0,0.0,0.0,0.017777777777777778,-0.030265522926994082,0.0,0.16444444444444445,0.22666666666666666,0.9066666666666666,0.0044444444444444444,0.0,0.0,0.3777777777777778,0.9066666666666666,0.035555555555555556,-0.10617947859457628,0.0,0.13798955365622032,0.0016574966016629049,0.011481363356931527,0.0,0.1528888888888889,0.31733333333333336,0.00044707429322813936,0.0007512685581294314,0.0002555083715809491,0.00026846251733653615,0.0017882971729125574,-0.032274290108794554
4,Giovani Bernard,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,8,28.0,0,1.0,0.0,0.0,-6.001595770427222,0,2,2,-1.0,0,0.0,0.0,-8.0,7.0,0.0,-2.1372818544041365,0,0.125,0.06060606060606061,-0.0427807486631016,0.0609625668449198,0.0,2.7,4.7,2,0.02564102564102564,-0.015904572564612324,0.029535864978902954,0.025737880409848604,-0.002232142857142857,0.0,0.0,0.0,-0.0011160714285714285,-0.0017857142857142857,-0.01282051282051282,0.027243218177602595,-6.001595770427222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.5,0.0,0.0,-3.000797885213611,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,-4.0,3.5,0.0,-1.0686409272020683,0.0,0.0625,-0.0213903743315508,0.0304812834224599,0.0,1.35,2.35,0.01282051282051282,0.012868940204924302,-0.0005580357142857143,-0.0008928571428571428,-0.00641025641025641,-3.000797885213611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.25,0.0,0.0,-1.5003989426068054,0.0,0.5,0.5,-0.25,0.0,0.0,0.0,-2.0,1.75,0.0,-0.5343204636010341,0.0,0.03125,-0.0106951871657754,0.01524064171122995,0.0,0.675,1.175,0.00641025641025641,0.006434470102462151,-0.00027901785714285713,-0.0004464285714285714,-0.003205128205128205,-1.5003989426068054
5,Latavius Murray,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,171,760.0,6,1.0,0.0,44.0,-5.9284636285571946,1,27,35,132.0,0,0.0,0.0,-63.0,188.0,4.0,-8.963229830212427,0,-4.2137085137085135,1.115907554028279,-0.26966777240354606,1.4850938903599364,0.0,127.2,154.2,13,0.08158508158508158,-0.016317016317016316,0.13333333333333333,0.10932400932400932,0.04416192706590833,0.0,0.031496062992125984,0.028169014084507043,0.022080963532954166,0.03532954165272666,0.3076923076923077,0.15106391316274145,-5.9284636285571946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.153846153846153,58.46153846153846,0.46153846153846156,0.07692307692307693,0.0,3.3846153846153846,-0.4560356637351688,0.07692307692307693,2.076923076923077,2.6923076923076925,10.153846153846153,0.0,0.0,0.0,-4.846153846153846,14.461538461538462,0.3076923076923077,-0.6894792177086482,0.0,-0.3241314241314241,-0.020743674800272775,0.11423799156614896,0.0,9.784615384615385,11.86153846153846,0.0062757755065447375,0.008409539178769947,0.0016985356563810896,0.0027176570502097435,0.02366863905325444,-0.4560356637351688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0118343195266273,4.497041420118343,0.03550295857988166,0.00591715976331361,0.0,0.2603550295857988,-0.03507966644116683,0.00591715976331361,0.15976331360946747,0.20710059171597633,0.7810650887573964,0.0,0.0,0.0,-0.37278106508875736,1.1124260355029585,0.02366863905325444,-0.05303686290066524,0.0,-0.02493318647164801,-0.001595667292328675,0.00878753781278069,0.0,0.7526627218934911,0.9124260355029585,0.00048275196204190286,0.0006468876291361498,0.0001306565889523915,0.00020905054232382643,0.001820664542558034,-0.03507966644116683
6,Cordarrelle Patterson,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,144,695.0,8,1.0,1.0,39.0,-0.25217030422188547,0,21,31,122.0,0,0.0,0.0,75.0,116.0,6.0,-18.13727469034199,0,3.3945707070707076,1.2210725799256692,0.3511812568318883,2.077435749670826,1.0,133.70000000000002,154.70000000000002,13,0.09253731343283582,0.02262443438914027,0.1286031042128603,0.15690551766056593,0.05364995602462621,0.0,0.05217391304347826,0.048,0.026824978012313105,0.04291996481970097,0.3641791044776119,0.1717247963057523,-0.25217030422188547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.076923076923077,53.46153846153846,0.6153846153846154,0.07692307692307693,0.07692307692307693,3.0,-0.019397715709375804,0.0,1.6153846153846154,2.3846153846153846,9.384615384615385,0.0,0.0,0.0,5.769230769230769,8.923076923076923,0.46153846153846156,-1.395174976180153,0.0,0.26112082362082367,0.027013942833222174,0.15980274997467891,0.07692307692307693,10.284615384615385,11.900000000000002,0.007118254879448909,0.012069655204658917,0.002063459847101008,0.003301535755361613,0.02801377726750861,-0.019397715709375804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520710059171598,4.112426035502958,0.04733727810650888,0.00591715976331361,0.00591715976331361,0.23076923076923078,-0.0014921319776442926,0.0,0.1242603550295858,0.1834319526627219,0.7218934911242604,0.0,0.0,0.0,0.4437869822485207,0.6863905325443788,0.03550295857988166,-0.10732115201385793,0.0,0.020086217201601822,0.002077995602555552,0.012292519228821455,0.00591715976331361,0.7911242603550297,0.9153846153846156,0.000547558067649916,0.0009284350157429936,0.00015872768054623137,0.00025396428887397023,0.002154905943654508,-0.0014921319776442926
7,Keith Smith,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2.0,0,0.0,0.0,1.0,0.1993505461141467,0,1,2,8.0,0,0.0,0.0,2.0,8.0,0.0,-1.6073799715081623,0,0.0,0.12698412698412698,0.008333333333333333,0.1963095238095238,0.0,1.0,2.0,2,0.06060606060606061,0.006269592476489028,0.07079646017699115,0.09592476489028214,0.029850746268656716,0.0,0.0,0.0,0.014925373134328358,0.023880597014925373,0.24242424242424243,0.015323322096230461,0.1993505461141467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.09967527305707335,0.0,0.5,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,-0.8036899857540811,0.0,0.0,0.004166666666666667,0.0981547619047619,0.0,0.5,1.0,0.030303030303030304,0.04796238244514107,0.007462686567164179,0.011940298507462687,0.12121212121212122,0.09967527305707335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.04983763652853668,0.0,0.25,0.5,2.0,0.0,0.0,0.0,0.5,2.0,0.0,-0.40184499287704056,0.0,0.0,0.0020833333333333333,0.04907738095238095,0.0,0.25,0.5,0.015151515151515152,0.023981191222570534,0.0037313432835820895,0.005970149253731343,0.06060606060606061,0.04983763652853668
8,Jerick McKinnon,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,72,291.0,1,0.0,0.0,12.0,-9.96355854565627,0,56,71,512.0,9,1.0,1.0,48.0,541.0,28.0,22.60151935874825,1,30.241471734892787,1.8973212533296222,0.1656975849580989,2.9619701894651023,0.0,140.3,196.3,17,0.10906298003072197,0.010236724248240563,0.18962495618647038,0.17178384944467542,0.09752380952380953,0.21951219512195122,0.10294117647058823,0.1182108626198083,0.15851800232288038,0.12192148664343788,0.7864823348694316,0.1055944055944056,-9.96355854565627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235294117647059,17.11764705882353,0.058823529411764705,0.0,0.0,0.7058823529411765,-0.5860916791562512,0.0,3.2941176470588234,4.176470588235294,30.11764705882353,0.5294117647058824,0.058823529411764705,0.058823529411764705,2.823529411764706,31.823529411764707,1.6470588235294117,1.329501138749897,0.058823529411764705,1.7789101020525169,0.009746916762241112,0.17423354055677073,0.0,8.25294117647059,11.547058823529412,0.006415469413571881,0.010104932320275026,0.00932458837193414,0.007171852155496346,0.04626366675702539,-0.5860916791562512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24913494809688583,1.0069204152249134,0.0034602076124567475,0.0,0.0,0.041522491349480974,-0.034475981126838307,0.0,0.19377162629757785,0.24567474048442908,1.7716262975778547,0.03114186851211073,0.0034602076124567475,0.0034602076124567475,0.1660899653979239,1.8719723183391004,0.09688581314878893,0.07820594933822923,0.0034602076124567475,0.10464177070897158,0.0005733480448377124,0.010249031797457103,0.0,0.4854671280276817,0.6792387543252595,0.0003773805537395224,0.0005944077835455898,0.000548505198349067,0.0004218736562056674,0.002721392162177964,-0.034475981126838307
9,Michael Burton,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,7.0,0,0.0,0.0,2.0,-1.9252195887966082,0,2,3,11.0,0,0.0,0.0,-2.0,8.0,0.0,-0.25816596730146557,0,0.8,0.07411222553537544,-0.021638184657187504,0.0960216090430319,0.0,1.8,3.8,6,0.01171875,-0.0011235955056179776,0.007359705611775529,0.016679248595505618,0.00560081466395112,0.0,0.0,0.0,0.00280040733197556,0.004480651731160896,0.04296875,0.006080389144905273,-1.9252195887966082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.1666666666666667,0.0,0.0,0.0,0.3333333333333333,-0.3208699314661014,0.0,0.3333333333333333,0.5,1.8333333333333333,0.0,0.0,0.0,-0.3333333333333333,1.3333333333333333,0.0,-0.04302766121691093,0.0,0.13333333333333333,-0.0036063641095312507,0.016003601507171984,0.0,0.3,0.6333333333333333,0.001953125,0.002779874765917603,0.00046673455532925996,0.000746775288526816,0.007161458333333333,-0.3208699314661014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.19444444444444445,0.0,0.0,0.0,0.05555555555555555,-0.053478321911016896,0.0,0.05555555555555555,0.08333333333333333,0.3055555555555555,0.0,0.0,0.0,-0.05555555555555555,0.2222222222222222,0.0,-0.007171276869485155,0.0,0.022222222222222223,-0.0006010606849218751,0.0026672669178619975,0.0,0.049999999999999996,0.10555555555555556,0.0003255208333333333,0.0004633124609862672,7.778909255487666e-05,0.00012446254808780267,0.0011935763888888888,-0.053478321911016896
