,name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game,completions per game per game,attempts per game per game,passing_yards per game per game,passing_tds per game per game,interceptions per game per game,sacks per game per game,sack_yards per game per game,sack_fumbles per game per game,sack_fumbles_lost per game per game,passing_air_yards per game per game,passing_yards_after_catch per game per game,passing_first_downs per game per game,passing_epa per game per game,passing_2pt_conversions per game per game,pacr per game per game,dakota per game per game,carries per game per game,rushing_yards per game per game,rushing_tds per game per game,rushing_fumbles per game per game,rushing_fumbles_lost per game per game,rushing_first_downs per game per game,rushing_epa per game per game,rushing_2pt_conversions per game per game,receptions per game per game,targets per game per game,receiving_yards per game per game,receiving_tds per game per game,receiving_fumbles per game per game,receiving_fumbles_lost per game per game,receiving_air_yards per game per game,receiving_yards_after_catch per game per game,receiving_first_downs per game per game,receiving_epa per game per game,receiving_2pt_conversions per game per game,racr per game per game,air_yards_share per game per game,wopr_x per game per game,special_teams_tds per game per game,fantasy_points per game per game,fantasy_points_ppr per game per game,tgt_sh per game per game,wopr_y per game per game,dom per game per game,w8dom per game per game,yptmpa per game per game,total_epa per game per game
0,Marcedes Lewis,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,66.0,2,0.0,0.0,58.0,14.0,5.0,6.967597299488261,1,5.423809523809524,0.22495180258338152,0.20181386283991842,0.4786974078630152,0.0,20.6,26.6,6,0.03482587064676617,0.033506643558636626,0.020172910662824207,0.07904412081705856,0.047619047619047616,0.2222222222222222,0.07042253521126761,0.0875,0.1349206349206349,0.08253968253968255,0.3283582089552239,0.051556382525099816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1666666666666667,11.0,0.3333333333333333,0.0,0.0,9.666666666666666,2.3333333333333335,0.8333333333333334,1.161266216581377,0.16666666666666666,0.903968253968254,0.03363564380665307,0.07978290131050253,0.0,3.4333333333333336,4.433333333333334,0.005804311774461029,0.013174020136176426,0.022486772486772486,0.013756613756613759,0.05472636815920398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.19444444444444445,1.8333333333333333,0.05555555555555555,0.0,0.0,1.611111111111111,0.3888888888888889,0.1388888888888889,0.19354436943022948,0.027777777777777776,0.15066137566137566,0.005605940634442179,0.013297150218417089,0.0,0.5722222222222223,0.7388888888888889,0.0009673852957435047,0.002195670022696071,0.003747795414462081,0.0022927689594356266,0.00912106135986733,0.0
1,Kyle Rudolph,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,28.0,1,0.0,0.0,38.0,3.0,2.0,1.939216998172924,0,3.6,0.11994588744588744,0.15650024861295916,0.2894690051979026,0.0,8.8,11.8,5,0.02262443438914027,0.02785923753665689,0.004137931034482759,0.056224041613035916,0.02039329934450109,0.2,0.029850746268656716,0.041666666666666664,0.11019664967225055,0.05631463947560088,0.12669683257918551,0.027691730029099786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,5.6,0.2,0.0,0.0,7.6,0.6,0.4,0.3878433996345848,0.0,0.72,0.03130004972259183,0.057893801039580514,0.0,1.7600000000000002,2.3600000000000003,0.004524886877828054,0.011244808322607183,0.02203932993445011,0.011262927895120175,0.025339366515837104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.2,1.1199999999999999,0.04,0.0,0.0,1.52,0.12,0.08,0.07756867992691696,0.0,0.144,0.006260009944518366,0.011578760207916103,0.0,0.35200000000000004,0.4720000000000001,0.0009049773755656108,0.0022489616645214364,0.004407865986890022,0.002252585579024035,0.0050678733031674205,0.0
2,Zach Ertz,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,47,69,406.0,4,0.0,0.0,548.0,130.0,24.0,6.274928354410032,2,9.016132912097985,1.7866616809780478,2.1494930264442393,4.184637639978039,0.0,68.6,115.60000000000001,10,0.17206982543640897,0.21101270696958027,0.10375099760574621,0.42691490373027763,0.16790736145574855,0.3076923076923077,0.19834710743801653,0.208955223880597,0.23779983457402815,0.19586435070306038,1.0124688279301746,0.1279298820300569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,6.9,40.6,0.4,0.0,0.0,54.8,13.0,2.4,0.6274928354410032,0.2,0.9016132912097985,0.21494930264442394,0.4184637639978039,0.0,6.859999999999999,11.56,0.0172069825436409,0.04269149037302776,0.023779983457402815,0.019586435070306038,0.10124688279301745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.6900000000000001,4.0600000000000005,0.04,0.0,0.0,5.4799999999999995,1.3,0.24,0.06274928354410032,0.02,0.09016132912097985,0.021494930264442394,0.04184637639978039,0.0,0.6859999999999999,1.1560000000000001,0.0017206982543640898,0.004269149037302776,0.0023779983457402815,0.0019586435070306036,0.010124688279301745,0.0
3,Ryan Griffin,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,8,26.0,0,0.0,0.0,53.0,9.0,1.0,-7.944319605303463,0,2.125,0.43781133898780955,0.3561007054092279,0.9059875022681738,0.0,2.6,6.6,7,0.0547945205479452,0.03888481291269259,0.020224719101123594,0.11329963115207188,0.02634245187436677,0.0,0.023809523809523808,0.02040816326530612,0.013171225937183385,0.021073961499493418,0.1780821917808219,0.015946651203247317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.1428571428571428,3.7142857142857144,0.0,0.0,0.0,7.571428571428571,1.2857142857142858,0.14285714285714285,-1.1349028007576376,0.0,0.30357142857142855,0.050871529344175416,0.12942678603831054,0.0,0.37142857142857144,0.9428571428571428,0.007827788649706457,0.016185661593153124,0.001881603705311912,0.0030105659284990595,0.025440313111545987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.16326530612244897,0.5306122448979592,0.0,0.0,0.0,1.0816326530612244,0.1836734693877551,0.02040816326530612,-0.16212897153680536,0.0,0.04336734693877551,0.007267361334882203,0.01848954086261579,0.0,0.05306122448979592,0.1346938775510204,0.0011182555213866368,0.0023122373704504463,0.00026880052933027316,0.00043008084692843705,0.0036343304445065694,0.0
4,Travis Kelce,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,5.0,0,0.0,0.0,1.0,0.48865970596671104,0,110,152,1338.0,12,1.0,1.0,1083.0,648.0,78.0,64.98388670637527,1,22.24231881238419,4.248591597310461,4.135082849957662,9.267445390936054,0.0,206.3,316.3,17,0.23348694316436253,0.2309660908509277,0.22712933753943218,0.535003287427286,0.25485714285714284,0.2926829268292683,0.2867647058823529,0.28753993610223644,0.27377003484320556,0.26242229965156794,2.055299539170507,0.17014523937600862,0.48865970596671104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.29411764705882354,0.0,0.0,0.0,0.058823529411764705,0.02874468858627712,0.0,6.470588235294118,8.941176470588236,78.70588235294117,0.7058823529411765,0.058823529411764705,0.058823529411764705,63.705882352941174,38.11764705882353,4.588235294117647,3.8225815709632514,0.058823529411764705,1.3083716948461288,0.24324016764456835,0.5451438465256502,0.0,12.13529411764706,18.605882352941176,0.013734526068491914,0.03147078161336976,0.01610411969665915,0.015436605861856937,0.12089997289238277,0.02874468858627712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006920415224913495,0.01730103806228374,0.0,0.0,0.0,0.0034602076124567475,0.0016908640344868895,0.0,0.3806228373702422,0.5259515570934257,4.6297577854671275,0.041522491349480974,0.0034602076124567475,0.0034602076124567475,3.7474048442906573,2.2422145328719725,0.26989619377162627,0.22485773946842655,0.0034602076124567475,0.07696304087330169,0.014308245155562845,0.03206728508974413,0.0,0.713840830449827,1.0944636678200692,0.0008079132981465832,0.00185122244784528,0.0009473011586270089,0.000908035638932761,0.007111763111316634,0.0016908640344868895
5,Logan Thomas,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,39,61,323.0,1,0.0,0.0,430.0,126.0,15.0,-8.530384151428546,0,9.701236705069658,2.0170961108700487,1.5417955228716977,4.1049010323152615,0.0,38.300000000000004,77.3,13,0.14186046511627906,0.11974380395433026,0.10632911392405063,0.3085857408378828,0.11353251318101933,0.05263157894736842,0.10416666666666667,0.09815950920245399,0.08308204606419387,0.10135232633428916,0.7511627906976744,0.0748088648020904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.6923076923076925,24.846153846153847,0.07692307692307693,0.0,0.0,33.07692307692308,9.692307692307692,1.1538461538461537,-0.6561833962637343,0.0,0.7462489773130506,0.1185996556055152,0.31576161787040474,0.0,2.9461538461538463,5.946153846153846,0.010912343470483005,0.02373736467983714,0.006390926620322605,0.00779633279494532,0.05778175313059034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.3609467455621302,1.9112426035502958,0.00591715976331361,0.0,0.0,2.544378698224852,0.7455621301775147,0.08875739644970414,-0.050475645866441106,0.0,0.057403767485619275,0.009123050431193477,0.024289355220800366,0.0,0.22662721893491125,0.457396449704142,0.0008394110361910004,0.0018259511292182415,0.0004916097400248158,0.0005997179073034862,0.004444750240814642,0.0
6,Cameron Brate,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,38,174.0,0,0.0,0.0,265.0,61.0,8.0,-11.742362478903118,0,5.854649397028396,0.9421365345300436,0.8964908200640972,2.040748375839933,0.0,17.4,37.4,9,0.10354223433242507,0.09484609878310665,0.05611775528978841,0.23119023052512294,0.07341772151898734,0.0,0.06557377049180328,0.058394160583941604,0.03670886075949367,0.05873417721518988,0.47411444141689374,0.047510162601626015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,4.222222222222222,19.333333333333332,0.0,0.0,0.0,29.444444444444443,6.777777777777778,0.8888888888888888,-1.3047069421003465,0.0,0.6505165996698218,0.09961009111823302,0.22674981953777035,0.0,1.9333333333333331,4.155555555555555,0.011504692703602786,0.025687803391680326,0.004078762306610408,0.006526019690576653,0.05267938237965486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2469135802469136,0.46913580246913583,2.148148148148148,0.0,0.0,0.0,3.271604938271605,0.7530864197530864,0.09876543209876543,-0.1449674380111496,0.0,0.07227962218553576,0.01106778790202589,0.025194424393085595,0.0,0.2148148148148148,0.46172839506172836,0.0012782991892891983,0.0028542003768533696,0.0004531958118456009,0.0007251132989529614,0.00585326470885054,0.0
7,Richard Rodgers,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,4,4.0,0,0.0,0.0,-4.0,3.0,0.0,-2.8901569989684504,0,4.0,0.10449482118428767,-0.015564804279250109,0.14584686878095643,0.0,0.4,1.4,3,0.03508771929824561,-0.005865102639296188,0.009036144578313253,0.04793949683593147,0.005555555555555556,0.0,0.0,0.0,0.002777777777777778,0.0044444444444444444,0.03508771929824561,0.005608974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,-1.3333333333333333,1.0,0.0,-0.9633856663228167,0.0,1.3333333333333333,-0.005188268093083369,0.04861562292698548,0.0,0.13333333333333333,0.4666666666666666,0.011695906432748537,0.015979832278643823,0.000925925925925926,0.0014814814814814814,0.011695906432748537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,-0.4444444444444444,0.3333333333333333,0.0,-0.32112855544093893,0.0,0.4444444444444444,-0.0017294226976944565,0.01620520764232849,0.0,0.044444444444444446,0.15555555555555553,0.003898635477582846,0.005326610759547941,0.00030864197530864197,0.0004938271604938272,0.003898635477582846,0.0
8,Chris Manhertz,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,8,42.0,0,0.0,0.0,21.0,35.0,2.0,-0.6929761746432632,0,24.375,0.2477251633923298,0.06976675751048768,0.42042447534583605,0.0,4.2,10.2,6,0.038461538461538464,0.013478818998716302,0.05247376311844078,0.06847536289128074,0.03041274438812455,0.0,0.028985507246376812,0.025974025974025976,0.015206372194062274,0.02433019551049964,0.20192307692307693,0.0212748206240614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,7.0,0.0,0.0,0.0,3.5,5.833333333333333,0.3333333333333333,-0.11549602910721053,0.0,4.0625,0.011627792918414613,0.07007074589097267,0.0,0.7000000000000001,1.7,0.006410256410256411,0.011412560481880123,0.0025343953656770456,0.004055032585083274,0.03365384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2222222222222222,1.1666666666666667,0.0,0.0,0.0,0.5833333333333334,0.9722222222222222,0.05555555555555555,-0.01924933818453509,0.0,0.6770833333333334,0.0019379654864024355,0.011678457648495446,0.0,0.11666666666666668,0.2833333333333333,0.0010683760683760685,0.001902093413646687,0.0004223992276128409,0.0006758387641805456,0.005608974358974359,0.0
9,Maxx Williams,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,3,18.0,0,0.0,0.0,12.0,6.0,0.0,0.7306354930624366,0,3.555555555555556,0.08095238095238094,0.04893343867272368,0.155681978499478,0.0,1.8000000000000003,4.800000000000001,2,0.0375,0.024489795918367346,0.026785714285714284,0.07584183673469387,0.04,,0.0,0.0,,,0.225,0.0372093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,9.0,0.0,0.0,0.0,6.0,3.0,0.0,0.3653177465312183,0.0,1.777777777777778,0.02446671933636184,0.077840989249739,0.0,0.9000000000000001,2.4000000000000004,0.01875,0.037920918367346935,,,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,4.5,0.0,0.0,0.0,3.0,1.5,0.0,0.18265887326560915,0.0,0.888888888888889,0.01223335966818092,0.0389204946248695,0.0,0.45000000000000007,1.2000000000000002,0.009375,0.018960459183673468,,,0.05625,0.0
