,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,Marcedes Lewis,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,4,28.0,0,0.0,0.0,8.0,29.0,1.0,1.183,0,3.2,0.143,0.105,0.289,0.0,2.8,5.8,4,0.033,0.009,0.076,0.057,0.031,0.0,0.021,0.019,0.016,0.025,0.233,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,7.0,0.0,0.0,0.0,2.0,7.25,0.25,0.29575,0.0,0.8,0.02625,0.07225,0.0,0.7,1.45,0.00825,0.01425,0.004,0.00625,0.05825,0.0
1,Jimmy Graham,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,5,30.0,3,0.0,0.0,36.0,0.0,4.0,6.25,0,3.0,0.195,0.204,0.435,0.0,21.0,25.0,4,0.043,0.041,0.0,0.098,0.039,0.5,0.1,0.152,0.269,0.131,0.261,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,7.5,0.75,0.0,0.0,9.0,0.0,1.0,1.5625,0.0,0.75,0.051,0.10875,0.0,5.25,6.25,0.01075,0.0245,0.06725,0.03275,0.06525,0.0
2,Zach Ertz,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,27,43,187.0,1,0.0,0.0,332.0,46.0,8.0,-14.025,0,3.235,1.334,1.26,2.884,0.0,24.7,51.7,7,0.187,0.171,0.08,0.417,0.137,0.167,0.114,0.118,0.152,0.143,0.813,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,6.142857142857143,26.714285714285715,0.14285714285714285,0.0,0.0,47.42857142857143,6.571428571428571,1.1428571428571428,-2.0035714285714286,0.0,0.46214285714285713,0.18,0.412,0.0,3.5285714285714285,7.385714285714286,0.026714285714285715,0.05957142857142857,0.021714285714285714,0.020428571428571428,0.11614285714285713,0.0
3,Travis Kelce,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,80,103,896.0,5,1.0,1.0,778.0,380.0,47.0,48.998,0,12.448,2.848,3.317,6.594,0.0,117.6,197.6,12,0.227,0.255,0.203,0.545,0.28,0.238,0.287,0.281,0.259,0.271,1.974,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,8.583333333333334,74.66666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,64.83333333333333,31.666666666666668,3.9166666666666665,4.083166666666666,0.0,1.0373333333333334,0.2764166666666667,0.5495,0.0,9.799999999999999,16.466666666666665,0.01891666666666667,0.04541666666666667,0.021583333333333333,0.022583333333333334,0.1645,0.0
4,Logan Thomas,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2.0,0,0.0,0.0,1.0,0.511,0,45,63,424.0,3,2.0,2.0,401.0,215.0,20.0,1.336,1,12.91,1.601,1.424,3.398,0.0,58.6,103.6,12,0.131,0.109,0.13,0.284,0.129,0.167,0.132,0.136,0.148,0.136,0.883,0.093,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.042583333333333334,0.0,3.75,5.25,35.333333333333336,0.25,0.16666666666666666,0.16666666666666666,33.416666666666664,17.916666666666668,1.6666666666666667,0.11133333333333334,0.08333333333333333,1.0758333333333334,0.11866666666666666,0.2831666666666667,0.0,4.883333333333334,8.633333333333333,0.010916666666666667,0.023666666666666666,0.012333333333333333,0.011333333333333334,0.07358333333333333,0.042583333333333334
5,Chris Manhertz,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,4,16.0,0,0.0,0.0,12.0,10.0,1.0,0.051,0,5.333,0.146,0.027,0.238,0.0,1.6,3.6,4,0.034,0.015,0.023,0.063,0.02,0.0,0.026,0.022,0.01,0.016,0.137,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,0.0,0.0,0.0,3.0,2.5,0.25,0.01275,0.0,1.33325,0.00675,0.0595,0.0,0.4,0.9,0.0085,0.01575,0.0025,0.004,0.03425,0.0
6,MyCole Pruitt,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,10,79.0,1,1.0,0.0,43.0,39.0,4.0,4.244,0,6.967,0.283,0.138,0.522,0.0,13.9,20.9,7,0.039,0.019,0.059,0.074,0.045,0.143,0.043,0.051,0.094,0.064,0.31,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4285714285714286,11.285714285714286,0.14285714285714285,0.14285714285714285,0.0,6.142857142857143,5.571428571428571,0.5714285714285714,0.6062857142857142,0.0,0.9952857142857142,0.019714285714285715,0.07457142857142858,0.0,1.9857142857142858,2.9857142857142853,0.005571428571428572,0.01057142857142857,0.013428571428571429,0.009142857142857144,0.04428571428571428,0.0
7,Darren Waller,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,36,51,384.0,1,0.0,0.0,425.0,142.0,18.0,10.441,0,7.992,1.769,2.972,4.734,0.0,44.4,80.4,8,0.208,0.26,0.209,0.52,0.263,0.25,0.273,0.271,0.256,0.26,1.567,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.375,48.0,0.125,0.0,0.0,53.125,17.75,2.25,1.305125,0.0,0.999,0.3715,0.59175,0.0,5.55,10.05,0.026,0.065,0.032,0.0325,0.195875,0.0
8,Blake Bell,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,19.0,1,1.0,1.0,17.0,9.0,1.0,-3.954,0,2.09,0.133,0.049,0.234,0.0,5.9,8.9,3,0.042,0.017,0.018,0.077,0.021,0.167,0.023,0.041,0.094,0.05,0.16,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6666666666666667,6.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.666666666666667,3.0,0.3333333333333333,-1.318,0.0,0.6966666666666667,0.016333333333333335,0.078,0.0,1.9666666666666668,2.966666666666667,0.014,0.025666666666666667,0.03133333333333333,0.016666666666666666,0.05333333333333334,0.0
9,C.J. Uzomah,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,12,58.0,1,0.0,0.0,64.0,33.0,5.0,-3.389,0,16.402,0.329,0.233,0.657,0.0,11.8,19.8,7,0.046,0.032,0.046,0.095,0.037,0.333,0.074,0.085,0.185,0.097,0.224,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.7142857142857142,8.285714285714286,0.14285714285714285,0.0,0.0,9.142857142857142,4.714285714285714,0.7142857142857143,-0.4841428571428571,0.0,2.3431428571428574,0.03328571428571429,0.09385714285714286,0.0,1.6857142857142857,2.8285714285714287,0.006571428571428571,0.013571428571428571,0.02642857142857143,0.013857142857142858,0.032,0.0
