,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,Julio Jones,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,8,16.0,1,0.0,0.0,16.0,13.0,1.0,-0.746,0,1.921,0.293,0.047,0.472,0.0,7.6,12.6,4,0.066,0.017,0.032,0.112,0.017,0.111,0.022,0.037,0.064,0.036,0.131,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.0,4.0,0.25,0.0,0.0,4.0,3.25,0.25,-0.1865,0.0,0.48025,0.01175,0.118,0.0,1.9,3.15,0.0165,0.028,0.016,0.009,0.03275,0.0
1,Randall Cobb,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,12,20.0,0,0.0,0.0,84.0,11.0,2.0,-8.724,1,2.333,0.399,0.434,0.902,0.0,4.0,7.0,6,0.066,0.062,0.021,0.148,0.018,0.0,0.04,0.037,0.009,0.015,0.109,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,3.3333333333333335,0.0,0.0,0.0,14.0,1.8333333333333333,0.3333333333333333,-1.454,0.16666666666666666,0.38883333333333336,0.07233333333333333,0.15033333333333335,0.0,0.6666666666666666,1.1666666666666667,0.011000000000000001,0.024666666666666667,0.0014999999999999998,0.0025,0.018166666666666668,0.0
2,Marvin Jones,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,10,35.0,0,1.0,1.0,80.0,9.0,2.0,-5.427,0,2.454,0.323,0.396,0.761,0.0,1.5,6.5,4,0.074,0.094,0.018,0.187,0.033,0.0,0.041,0.036,0.017,0.027,0.259,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.5,8.75,0.0,0.25,0.25,20.0,2.25,0.5,-1.35675,0.0,0.6135,0.099,0.19025,0.0,0.375,1.625,0.0185,0.04675,0.00425,0.00675,0.06475,0.0
3,Adam Thielen,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,6.0,0,0.0,0.0,0.0,0.236,0,80,106,753.0,4,1.0,0.0,772.0,272.0,45.0,47.286,1,11.822,3.191,3.396,7.164,0.0,101.9,181.9,12,0.241,0.252,0.249,0.563,0.311,0.364,0.381,0.38,0.337,0.321,1.711,0.216,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.019666666666666666,0.0,6.666666666666667,8.833333333333334,62.75,0.3333333333333333,0.08333333333333333,0.0,64.33333333333333,22.666666666666668,3.75,3.9405,0.08333333333333333,0.9851666666666666,0.283,0.597,0.0,8.491666666666667,15.158333333333333,0.02008333333333333,0.04691666666666666,0.028083333333333335,0.02675,0.14258333333333334,0.019666666666666666
4,Marquise Goodwin,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,33.0,0,0.0,0.0,2.0,1.455,0,3,11,10.0,0,0.0,0.0,298.0,9.0,0.0,-10.372,0,0.365,0.338,1.056,1.245,0.0,4.3,7.3,8,0.041,0.127,0.011,0.163,0.006,0.0,0.0,0.0,0.003,0.005,0.037,0.012,1.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.125,0.0,0.0,0.0,0.25,0.181875,0.0,0.375,1.375,1.25,0.0,0.0,0.0,37.25,1.125,0.0,-1.2965,0.0,0.045625,0.132,0.155625,0.0,0.5375,0.9125,0.005125,0.020375,0.000375,0.000625,0.004625,0.181875
5,Keenan Allen,1,1,49.0,1,0.0,0.0,0.0,0,0,22.0,27.0,1.0,3.968,0,2.227,0.0,2,6.0,0,0.0,0.0,1.0,0.154,0,102,138,1175.0,7,2.0,1.0,1315.0,381.0,51.0,65.615,0,10.516,3.788,5.019,9.196,0.0,164.06,266.06,12,0.314,0.386,0.249,0.779,0.381,0.333,0.349,0.347,0.357,0.371,2.67,0.244,4.122,0.08333333333333333,0.08333333333333333,4.083333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2.25,0.08333333333333333,0.33066666666666666,0.0,0.18558333333333332,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.08333333333333333,0.012833333333333334,0.0,8.5,11.5,97.91666666666667,0.5833333333333334,0.16666666666666666,0.08333333333333333,109.58333333333333,31.75,4.25,5.4679166666666665,0.0,0.8763333333333333,0.41825,0.7663333333333333,0.0,13.671666666666667,22.171666666666667,0.026166666666666668,0.06491666666666666,0.02975,0.030916666666666665,0.2225,0.34349999999999997
6,Robert Woods,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,30,57,326.0,1,0.0,0.0,558.0,77.0,21.0,3.461,0,5.007,1.648,1.871,3.782,0.0,38.6,68.6,9,0.174,0.191,0.072,0.415,0.122,0.067,0.169,0.158,0.095,0.111,0.997,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,6.333333333333333,36.22222222222222,0.1111111111111111,0.0,0.0,62.0,8.555555555555555,2.3333333333333335,0.38455555555555554,0.0,0.5563333333333333,0.2078888888888889,0.4202222222222222,0.0,4.288888888888889,7.622222222222222,0.01933333333333333,0.04611111111111111,0.010555555555555556,0.012333333333333333,0.11077777777777778,0.0
7,DeAndre Hopkins,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,9.0,0,0.0,0.0,0.0,0.267,0,50,95,774.0,5,0.0,0.0,1402.0,155.0,36.0,17.504,0,7.162,3.3,5.008,8.455,0.0,108.3,158.3,12,0.271,0.419,0.141,0.742,0.313,0.5,0.336,0.35,0.407,0.351,2.211,0.192,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.75,0.0,0.0,0.0,0.0,0.022250000000000002,0.0,4.166666666666667,7.916666666666667,64.5,0.4166666666666667,0.0,0.0,116.83333333333333,12.916666666666666,3.0,1.4586666666666668,0.0,0.5968333333333333,0.41733333333333333,0.7045833333333333,0.0,9.025,13.191666666666668,0.022583333333333334,0.06183333333333333,0.033916666666666664,0.029249999999999998,0.18425,0.022250000000000002
8,Odell Beckham,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,27,47,408.0,2,1.0,1.0,560.0,149.0,19.0,12.985,0,16.104,1.688,2.474,4.264,0.0,50.8,77.8,10,0.161,0.229,0.134,0.425,0.18,0.167,0.188,0.186,0.173,0.177,1.397,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,4.7,40.8,0.2,0.1,0.1,56.0,14.9,1.9,1.2985,0.0,1.6103999999999998,0.2474,0.4264,0.0,5.08,7.779999999999999,0.0161,0.042499999999999996,0.0173,0.0177,0.1397,0.0
9,Brandin Cooks,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,23.0,0,0.0,0.0,1.0,0.851,0,37,52,497.0,5,1.0,0.0,640.0,105.0,27.0,27.814,1,8.995,1.494,2.153,3.749,0.0,84.0,121.0,11,0.132,0.193,0.085,0.353,0.161,0.208,0.18,0.184,0.185,0.17,1.265,0.106,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,2.090909090909091,0.0,0.0,0.0,0.09090909090909091,0.07736363636363636,0.0,3.3636363636363638,4.7272727272727275,45.18181818181818,0.45454545454545453,0.09090909090909091,0.0,58.18181818181818,9.545454545454545,2.4545454545454546,2.5285454545454544,0.09090909090909091,0.8177272727272726,0.19572727272727272,0.34081818181818185,0.0,7.636363636363637,11.0,0.012,0.03209090909090909,0.01681818181818182,0.015454545454545455,0.11499999999999999,0.07736363636363636
